price,price_per_meter,floor,rooms,repair_type,total_area,distance_to_center,district,house_build_year,house_type,balcony_number,bathroom_many,separate_bathroom,first_floor,geo_lat,geo_lon
9200000,95833,8,3,7,96,4060,Тюменский-3,2007,3,1,1,1,0,57.10915149,65.56222049
9200000,95724,2,3,1,96.11,7701,Рощино,2024,5,1,1,1,0,57.160844,65.421508
9200000,90373,9,3,8,101.8,3930,Тюменский-1,2007,7,2,1,1,0,57.11236,65.57228
9200000,89320,10,3,7,103,3858,Тюменский-3,2006,7,1,0,1,0,57.112522,65.57004
9170000,99674,15,3,7,92,6949,Восточный-2,2012,7,1,1,1,0,57.097653,65.621087
9150000,98387,7,3,7,93,2669,Южный мкр.,2002,3,1,0,1,0,57.12274227,65.52622499
9150000,84879,6,2,2,107.8,4266,Воровского,2022,5,0,1,0,0,57.122439,65.602826
9150000,99457,7,3,6,92,2971,Южный мкр.,1996,7,1,0,0,0,57.12133007,65.520458
9150000,109058,16,2,2,83.9,5342,ДОК,2021,4,0,0,1,0,57.184934,65.497892
9150000,101667,4,3,6,90,3488,Маяк,2015,7,1,0,1,0,57.14699382,65.4876693
9130000,138754,7,3,5,65.8,1388,Центр: Исторический,1979,3,1,1,1,0,57.15432232,65.55896859
9129000,111329,11,2,4,82,4607,Югра,2014,7,1,0,0,0,57.18445588,65.56415187
9120000,89150,1,3,8,102.3,916,Центр: Исторический,1971,7,1,0,0,1,57.152065,65.55059
9100000,101111,13,3,7,90,4182,Плеханова,2016,3,2,0,1,0,57.133661,65.478902
9100000,97849,7,3,7,93,2555,Южный мкр.,1972,7,1,0,1,0,57.123641,65.527141
9100000,92668,7,3,7,98.2,4298,2 Микрорайон,2006,7,1,0,1,0,57.112744,65.585702
9100000,92574,10,3,6,98.3,2934,Южный 2,2005,7,0,0,1,0,57.11809,65.54254
9100000,87500,3,3,5,104,5090,МЖК,1993,7,2,0,1,0,57.10374996,65.58352853
9100000,162500,12,2,8,56,6046,МЖК,2014,4,1,0,0,0,57.09611314,65.59073302
9100000,153457,17,2,7,59.3,4936,Тюменская слобода,2021,5,0,0,1,0,57.114616,65.484728
9100000,149180,1,2,5,61,4183,Тюменская слобода,2021,5,1,0,1,1,57.119003,65.494199
9100000,119737,7,2,7,76,2901,КПД,2015,7,1,0,0,0,57.14368795,65.59300575
9100000,118490,6,2,2,76.8,3588,5-й Заречный мкр.,2023,7,1,0,1,0,57.167526,65.586376
9100000,105568,16,3,2,86.2,4248,Воровского,2022,4,0,0,0,0,57.121764,65.601570
9100000,103763,3,2,7,87.7,2531,Студгородок,2007,4,1,0,0,0,57.15050934,65.58537906
9100000,101904,5,2,7,89.3,4628,Югра,2012,7,1,0,1,0,57.18425101,65.56678393
9099000,100876,12,3,6,90.2,6899,Восточный-3,2013,3,0,0,1,0,57.095568,65.615188
9080000,92653,9,3,6,98,1953,Центр: Дом печати,1988,7,1,0,1,0,57.15690477,65.56772716
9075000,89851,7,3,8,101,5323,МЖК,2005,7,1,0,1,0,57.10150601,65.5838609
9000000,163636,1,2,7,55,5223,Югра,2012,7,0,0,1,1,57.18881649,65.57284756
9000000,159011,13,2,8,56.6,2764,Европейский мкр.,2014,4,1,0,0,0,57.168394,65.556777
9000000,155172,9,1,7,58,5180,МЖК,2015,7,1,0,1,0,57.10497698,65.59049047
9000000,155172,2,2,7,58,3048,Европейский мкр.,2014,4,1,0,1,0,57.17118063,65.55551007
9000000,152542,11,2,8,59,3147,Студгородок,2019,5,1,0,0,0,57.156929,65.591701
9000000,138462,10,2,8,65,4449,Дом Обороны,2019,5,1,1,1,0,57.163656,65.480689
9000000,137405,8,2,6,65.5,2676,Студгородок,2007,7,1,0,1,0,57.15445407,65.5852535
9000000,134328,2,2,7,67,6719,Восточный-3,2014,4,0,0,1,0,57.097111,65.613972
9000000,133136,2,2,6,67.6,5754,Ново-Патрушево,2020,3,1,0,1,0,57.095419,65.575354
9000000,124827,7,2,8,72.1,3670,Дом Обороны,2012,7,1,0,1,0,57.16108317,65.49279868
9000000,112500,15,2,2,80,3664,Московский тракт,2023,5,0,0,1,0,57.134745,65.487247
9000000,107143,4,3,8,84,6318,Нефтяников,2015,7,1,0,1,0,57.20085183,65.55559092
9000000,103926,3,3,7,86.6,6550,Мыс,2012,7,1,0,1,0,57.1777286,65.63428334
9000000,103687,6,3,6,86.8,4979,Ново-Патрушево,2019,3,1,0,1,0,57.1004763,65.5604243
9000000,102157,8,2,3,88.1,2594,Заречный,2020,5,1,1,1,0,57.167628,65.541775
9000000,99889,1,3,6,90.1,4615,Плеханова,2015,3,0,0,0,1,57.134257,65.471194
9000000,97826,4,3,7,92,7463,Войновка,2012,7,1,0,0,0,57.09437257,65.627079
9000000,97297,2,3,4,92.5,3237,Московский тракт,1999,3,1,0,1,0,57.13330957,65.4956735
9000000,97087,9,3,7,92.7,4892,Ново-Патрушево,2020,3,1,0,1,0,57.1016815,65.5638996
9000000,96878,8,3,7,92.9,3324,Дом Обороны,2003,7,2,0,1,0,57.15887,65.49706
9000000,95238,12,3,4,94.5,2171,6 Микрорайон,2004,7,1,0,1,0,57.12572257,65.5553485
